AvgOfLatitude,AvgOfLongitude,SiteID,Abbreviation
35.70604148,-106.6367843,66,BOL
35.71294511,-106.577749,1,PAL
35.72272494,-106.7951472,78,PGM
35.72909051,-106.392396,95,BAL
35.74018808,-106.637365,82,SAYS
35.74710501,-106.5144751,41,BST
35.74732053,-106.562454,39,MPC
35.75164414,-106.6219973,24,SJC
35.76850219,-106.2715233,74,FRM
35.76977631,-106.5068625,40,PER
35.77567427,-106.3531184,101,CPM
35.77734919,-106.2771521,103,FWH
35.77847174,-106.8032984,22,JCE
35.79103768,-106.4128931,102,CPU
35.79428467,-106.7645797,87,TOV
35.79646953,-106.6313399,133,gp101
35.79680815,-106.6269759,136,gp103
35.79696083,-106.6290151,135,gp102
35.79700819,-106.6201746,138,gp106
35.79714644,-106.6179421,139,gp107
35.7971487,-106.622457,137,gp105
35.7985492,-106.541148,107,LOG
35.79865914,-106.6334097,140,gp109
35.79875846,-106.6267501,142,gp112
35.79881758,-106.629042,141,gp111
35.79887657,-106.6246832,143,gp113
35.79888327,-106.6201795,144,gp115
35.79888425,-106.6180991,145,gp116
35.79894254,-106.6157764,146,gp117
35.79918872,-106.7330501,21,HME
35.80054376,-106.6180442,151,gp125
35.80054487,-106.6313015,147,gp119
35.80060665,-106.6267435,148,gp121
35.8006525,-106.6246862,149,gp122
35.80066311,-106.5517058,124,LGR1
35.80066362,-106.6225285,150,gp123
35.80109088,-106.5507989,125,LGR2
35.80205172,-106.5989997,60,SDP
35.80236869,-106.6291034,153,gp129
35.8023983,-106.6335638,152,gp127
35.80240065,-106.6247439,155,gp131
35.80243456,-106.6269025,154,gp130
35.80246719,-106.6224877,156,gp132
35.8025062,-106.6202641,157,gp133
35.802547,-106.6158937,158,gp135
35.80393895,-106.5026386,15,PNE
35.80416159,-106.6291843,160,gp138
35.80419437,-106.6314204,159,gp137
35.80422465,-106.6225235,162,gp141
35.80423982,-106.6247371,161,gp140
35.80425727,-106.6180974,164,gp143
35.80429055,-106.6203115,163,gp142
35.80434968,-106.6159192,165,gp144
35.80592054,-106.6291096,168,gp147
35.80593424,-106.6314228,167,gp146
35.80594947,-106.6269742,169,gp148
35.80595751,-106.633692,166,gp145
35.8059785,-106.6248278,170,gp149
35.80609411,-106.6202706,171,gp151
35.80611645,-106.6159328,182,gp180
35.80669392,-106.6241978,108,MCN
35.80760711,-106.6337037,172,gp153
35.80773691,-106.6314486,173,gp154
35.80778639,-106.6271335,174,gp156
35.80783585,-106.6248104,175,gp157
35.80786529,-106.6226307,176,gp158
35.80789159,-106.6180052,177,gp160
35.80959663,-106.6292621,179,gp164
35.80962547,-106.6337782,178,gp162
35.80971032,-106.6248596,180,gp166
35.80973082,-106.6159839,181,gp170
35.81725794,-106.6839873,2,TWS
35.8201025,-106.7977605,5,BAC
35.8261424,-106.3769904,96,BAN
35.82616174,-106.576216,73,EFK
35.82926782,-106.3633181,130,BANSCARP
35.84419644,-106.4081436,131,bbud
35.85299545,-106.7559848,12,LFC
35.86093246,-106.5232896,67,BRH
35.86652751,-106.3501765,45,LNL
35.872129,-106.6688989,18,ELF
35.87621368,-106.5911161,81,RDC
35.87965771,-106.4690678,122,VG
35.88099273,-106.5010485,89,VGR
35.8837174,-106.3799261,111,PMR
35.88738347,-106.8203751,6,SBN
35.88837875,-106.3802755,110,PME
35.89164489,-106.3121786,90,VIL
35.89328934,-106.3381677,79,PIPE
35.8970088,-106.4048028,112,PMW
35.8977396,-106.5825898,105,RBS1
35.89793827,-106.5818231,113,RBS3
35.89953629,-106.3811914,99,CME
35.90064339,-106.7185273,114,SSP1
35.90066397,-106.6353111,17,UWC
35.90295278,-106.7179395,115,SSP2
35.90540324,-106.3930457,132,cmn2
35.90541961,-106.3963885,100,CMN
35.9069176,-106.3749715,97,CAS
35.91113609,-106.5853862,134,alamo
35.91432574,-106.3873565,68,CAN
35.91671341,-106.5829379,65,ABU
35.91849133,-106.5227148,121,VJ
35.92000576,-106.8270505,23,TCN
35.92017507,-106.6740941,4,BRC
35.9214266,-106.754746,11,OJI
35.92442141,-106.4906848,64,ABR
35.936854,-106.673451,109,OAC3
35.93694006,-106.5693525,119,VSC
35.936966,-106.673973,123,OAC2
35.94213366,-106.5178446,117,VSR
35.94425585,-106.3573531,46,CPS
35.944606,-106.5586187,118,VSLD
35.94522571,-106.3134584,43,LHV
35.94760956,-106.4472086,16,USA
35.95797952,-106.6633997,50,
35.96639258,-106.8472677,86,SPC
35.96990662,-106.5561044,120,VSA
35.97207903,-106.744,9,BLC
35.9757616,-106.3438863,42,MSC
35.97593662,-106.4811076,116,VTW
35.97795249,-106.8658635,85,SNS
35.98686007,-106.6415575,126,TWC2
35.98918473,-106.6387854,127,TWC3
35.99535315,-106.2779125,44,JPE
36.00340085,-106.8618472,84,SNN
36.01233633,-106.4834927,49,MRI
36.01235562,-106.4835635,19,MRI
36.01393007,-106.7110004,10,RPN
36.02326019,-106.3284014,104,GAM
36.0252803,-106.7732897,13,APW
36.037369,-106.5828958,20,UCC
36.04698721,-106.5072017,70,CHB
36.05343798,-106.6026745,7,CYC
36.05349388,-106.6028121,48,CYC
36.05426429,-106.6458418,25,VCW
36.0897305,-106.6865934,77,MPB
36.09575117,-106.4771072,83,SECO
36.09587644,-106.4661768,80,POL
36.09881498,-106.5850776,27,MLN
36.09927689,-106.5349062,14,BQC
36.10960938,-106.6334989,8,CYB
36.13221212,-106.5734207,26,MSP
36.15836057,-106.5012029,72,CPE
36.25168762,-106.6200199,76,MEPS
36.25365477,-106.6179626,69,CDPH
36.30346414,-106.9761381,75,LJA
36.30735817,-106.9587428,71,CON
36.34075868,-106.9466889,106,LGU
